Column |Name                                   |Description                                                                               |Links to or Called in                                         |Notes
  0    |ID                                     |Main ID                                                                                   |SQL database files                                            |
  1    |CreationTypeEnum                       |Type of entity                                                                            |SQL database files                                            |
  2    |description                            |Description of entity, may have lots of clues                                             |                                                              |
  3    |localizedTextIdName                    |Name displayed in game, uses an ID so this works for all languages                        |Language packs: en-US.bin, fr-FR.bin, and de-DE.bin: Column 0 |
  4    |creature2AoiSizeEnum                   |                                                                                          |                                                              |
  5    |unitRaceId                             |                                                                                          |                                                              |
  6    |creature2DifficultyId                  |Type of entity. Mob, boss, 5 man, etc                                                     |Creature2Difficulty: Column 0                                 |
  7    |creature2ArcheTypeId                   |                                                                                          |                                                              |
  8    |creature2TierId                        |How hard is this entity, this ID determines the default stats                             |Creature2Tier: Column 0                                       |
  9    |creature2ModelInfoId                   |                                                                                          |                                                              |
 10    |creature2DisplayGroupId                |Model group                                                                               |Creature2DisplayGroupEntry: Column 1                          |
 11    |creature2OutfitGroupId                 |Outfit group                                                                              |Creature2OutfitGroupEntry: Column 1                           |
 12    |prerequisiteIdVisibility               |                                                                                          |                                                              |
 13    |modelScale                             |Sets the Scale of the model (Displayinfo)                                                 | ----                                                         |
 14    |spell4IdActivate00                     |                                                                                          |                                                              |
 15    |spell4IdActivate01                     |                                                                                          |                                                              |
 16    |spell4IdActivate02                     |                                                                                          |                                                              |
 17    |spell4IdActivate03                     |                                                                                          |                                                              |
 18    |prerequisiteIdActivateSpell00          |                                                                                          |                                                              |
 19    |prerequisiteIdActivateSpell01          |                                                                                          |                                                              |
 20    |prerequisiteIdActivateSpell02          |                                                                                          |                                                              |
 21    |prerequisiteIdActivateSpell03          |                                                                                          |                                                              |
 22    |activateSpellCastTime                  |                                                                                          |                                                              |
 23    |activateSpellMinRange                  |                                                                                          |                                                              |
 24    |activateSpellMaxRange                  |                                                                                          |                                                              |
 25    |localizedTextIdActivateSpellText       |                                                                                          |                                                              |
 26    |spell4VisualGroupIdActivateSpell       |                                                                                          |                                                              |
 27    |trainerClassIdMask                     |                                                                                          |                                                              |
 28    |tradeSkillIdTrainer                    |                                                                                          |                                                              |
 29    |tradeSkillIdStation                    |                                                                                          |                                                              |
 30    |questIdGiven00                         |ID of  1st(?) quest given                                                                 |Quest2: Column 0                                              |
 31    |questIdGiven01                         |ID of  2nd(?) quest given                                                                 |Quest2: Column 0                                              |                                          
 32    |questIdGiven02                         |ID of  3rd(?) quest given                                                                 |Quest2: Column 0                                              |
 33    |questIdGiven03                         |ID of  4th(?) quest given                                                                 |Quest2: Column 0                                              |
 34    |questIdGiven04                         |ID of  5th(?) quest given                                                                 |Quest2: Column 0                                              |
 35    |questIdGiven05                         |ID of  6th(?) quest given                                                                 |Quest2: Column 0                                              |
 36    |questIdGiven06                         |ID of  7th(?) quest given                                                                 |Quest2: Column 0                                              |
 37    |questIdGiven07                         |ID of  8th(?) quest given                                                                 |Quest2: Column 0                                              |
 38    |questIdGiven08                         |ID of  9th(?) quest given                                                                 |Quest2: Column 0                                              |
 39    |questIdGiven09                         |ID of 10th(?) quest given                                                                 |Quest2: Column 0                                              |
 40    |questIdGiven10                         |ID of 11th(?) quest given                                                                 |Quest2: Column 0                                              |
 41    |questIdGiven11                         |ID of 12th(?) quest given                                                                 |Quest2: Column 0                                              |
 42    |questIdGiven12                         |ID of 13th(?) quest given                                                                 |Quest2: Column 0                                              |
 43    |questIdGiven13                         |ID of 14th(?) quest given                                                                 |Quest2: Column 0                                              |
 44    |questIdGiven14                         |ID of 15th(?) quest given                                                                 |Quest2: Column 0                                              |
 45    |questIdGiven15                         |ID of 16th(?) quest given                                                                 |Quest2: Column 0                                              |
 46    |questIdGiven16                         |ID of 17th(?) quest given                                                                 |Quest2: Column 0                                              |
 47    |questIdGiven17                         |ID of 18th(?) quest given                                                                 |Quest2: Column 0                                              |
 48    |questIdGiven18                         |ID of 19th(?) quest given                                                                 |Quest2: Column 0                                              |
 49    |questIdGiven19                         |ID of 20th(?) quest given                                                                 |Quest2: Column 0                                              |
 50    |questIdGiven20                         |ID of 21st(?) quest given                                                                 |Quest2: Column 0                                              |
 51    |questIdGiven21                         |ID of 22nd(?) quest given                                                                 |Quest2: Column 0                                              |
 52    |questIdGiven22                         |ID of 23rd(?) quest given                                                                 |Quest2: Column 0                                              |
 53    |questIdGiven23                         |ID of 24th(?) quest given                                                                 |Quest2: Column 0                                              |
 54    |questIdGiven24                         |ID of 25th(?) quest given                                                                 |Quest2: Column 0                                              |
 55    |questIdReceive00                       |ID of  1st(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 56    |questIdReceive01                       |ID of  2nd(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 57    |questIdReceive02                       |ID of  3rd(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 58    |questIdReceive03                       |ID of  4th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 59    |questIdReceive04                       |ID of  5th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 60    |questIdReceive05                       |ID of  6th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 61    |questIdReceive06                       |ID of  7th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 62    |questIdReceive07                       |ID of  8th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 63    |questIdReceive08                       |ID of  9th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 64    |questIdReceive09                       |ID of 10th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 65    |questIdReceive10                       |ID of 11th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 66    |questIdReceive11                       |ID of 12th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 67    |questIdReceive12                       |ID of 13th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 68    |questIdReceive13                       |ID of 14th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 69    |questIdReceive14                       |ID of 15th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 70    |questIdReceive15                       |ID of 16th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 71    |questIdReceive16                       |ID of 17th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 72    |questIdReceive17                       |ID of 18th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 73    |questIdReceive18                       |ID of 19th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 74    |questIdReceive19                       |ID of 20th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 75    |questIdReceive20                       |ID of 21th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 76    |questIdReceive21                       |ID of 22th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 77    |questIdReceive22                       |ID of 23th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 78    |questIdReceive23                       |ID of 24th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 79    |questIdReceive24                       |ID of 25th(?) quest returned to this entity                                               |Quest2: Column 0                                              |
 80    |questAnimStateId                       |                                                                                          |                                                              |
 81    |prerequisiteIdAnimState                |                                                                                          |                                                              |
 82    |questAnimObjectiveIndex                |                                                                                          |                                                              |
 83    |flags                                  |                                                                                          |????                                                          |
 84    |uiFlags                                |                                                                                          |????                                                          |
 85    |activationFlags                        |                                                                                          |                                                              |
 86    |aimYawConstraint                       |                                                                                          |                                                              |
 87    |aimPitchUpConstraint                   |                                                                                          |                                                              |
 88    |aimPitchDownConstraint                 |                                                                                          |                                                              |
 89    |item2IdMTXKey00                        |                                                                                          |                                                              |
 90    |item2IdMTXKey01                        |                                                                                          |                                                              |
 91    |creature2FamilyId                      |                                                                                          |                                                              |
 92    |creature2TractId                       |                                                                                          |                                                              |
 93    |bindPointId                            |                                                                                          |                                                              |
 94    |resourceConversionGroupId              |                                                                                          |                                                              |
 95    |taxiNodeId                             |                                                                                          |                                                              |
 96    |pathScientistExperimentationId         |                                                                                          |                                                              |
 97    |datacubeId                             |                                                                                          |                                                              |
 98    |datacubeVolumeId                       |                                                                                          |                                                              |
